start_token	end_token	supersense_category	text
1	1	noun.person	NECK
4	4	noun.communication	Legend
7	7	noun.object	Lake
12	12	noun.object	lake
15	15	verb.stative	lived
17	17	noun.person	Neck
20	21	noun.person	Water Sprite
24	24	verb.cognition	desired
28	28	noun.cognition	things
31	31	verb.possession	obtain
34	34	noun.person	soul
39	39	noun.phenomenon	sun
40	40	verb.weather	shone
42	42	noun.body	Neck
43	44	verb.motion	rose up
46	46	verb.contact	sat
49	49	noun.event	waves
51	51	verb.creation	played
54	54	noun.artifact	harp
58	58	verb.creation	played
63	63	noun.phenomenon	winds
64	64	verb.stative	stayed
66	66	verb.perception	listen
72	72	noun.object	sun
73	73	verb.stative	lingered
76	76	noun.location	setting
80	80	noun.object	moon
81	81	verb.motion	rose
84	84	noun.time	time
88	88	noun.phenomenon	strain
89	89	verb.stative	was
91	91	noun.communication	praise
93	93	noun.attribute	immortality
100	100	noun.object	lake
102	102	verb.stative	rose
105	105	noun.object	rock
108	108	verb.communication	dwelt
111	111	noun.person	hermit
115	115	noun.communication	reason
118	118	noun.feeling	loneliness
120	120	verb.emotion	afflicted
123	123	noun.person	spirit
125	125	noun.feeling	melancholy
131	131	noun.state	fit
132	132	verb.stative	was
139	139	verb.communication	tempted
141	141	verb.contact	throw
145	145	noun.substance	water
149	149	noun.state	life
150	150	verb.stative	was
157	157	noun.time	day
162	162	noun.state	madness
164	164	verb.contact	driven
168	168	noun.location	edge
171	171	noun.object	rock
173	173	verb.possession	cast
178	178	noun.person	Neck
179	179	verb.motion	rose
183	183	noun.time	moment
186	186	verb.contact	sitting
189	189	noun.event	wave
191	191	verb.change	began
193	193	verb.creation	play
197	197	noun.phenomenon	strain
198	198	verb.stative	was
200	200	noun.communication	praise
202	202	noun.attribute	immortality
206	206	noun.communication	melody
207	207	verb.change	went
211	211	noun.body	heart
214	214	noun.person	hermit
217	217	noun.phenomenon	sunbeam
218	219	verb.motion	goes into
222	222	noun.object	cave
226	226	verb.communication	dispelled
228	228	noun.state	gloom
232	232	verb.cognition	thought
235	235	verb.stative	be
244	244	verb.perception	seemed
249	249	verb.communication	called
252	252	noun.person	Neck
254	254	verb.communication	said
263	263	verb.creation	play
266	266	noun.person	son
271	271	noun.person	Neck
272	272	verb.communication	answered
276	276	verb.stative	is
280	280	noun.attribute	immortality
284	284	verb.communication	said
286	286	noun.person	hermit
290	290	verb.communication	beg
294	294	verb.body	play
298	298	noun.object	rock
302	302	verb.stative	am
307	307	noun.person	man
311	311	noun.communication	reason
314	314	noun.state	loneliness
316	316	noun.time	life
317	317	verb.stative	becomes
319	319	noun.cognition	burden
326	326	verb.emotion	tempted
328	328	verb.possession	throw
336	336	noun.phenomenon	strain
338	338	noun.act	evil
341	341	verb.communication	dispelled
345	345	verb.communication	beg
348	348	verb.motion	come
352	352	verb.social	play
356	356	verb.stative	is
364	364	verb.possession	offer
367	367	noun.possession	reward
371	371	verb.stative	am
375	375	noun.possession	possessions
380	380	noun.person	Neck
381	381	verb.communication	replied
385	385	verb.stative	are
386	386	noun.possession	treasures
389	389	noun.object	water
395	395	verb.emotion	desire
398	398	noun.possession	riches
404	404	verb.communication	tell
409	409	verb.possession	gain
412	412	noun.person	soul
416	416	verb.social	play
421	421	verb.communication	bid
423	423	verb.stative	cease
428	428	noun.person	hermit
429	429	verb.communication	said
434	434	verb.perception	consider
436	436	noun.cognition	matter
441	441	verb.motion	return
444	444	noun.time	morrow
447	447	noun.event	time
449	449	verb.communication	answer
456	456	noun.time	day
458	458	verb.motion	returned
462	462	verb.communication	said
466	466	noun.person	Neck
468	468	verb.stative	waiting
472	472	noun.object	lake
476	476	verb.communication	cried
480	480	noun.communication	news
483	483	noun.person	father
488	488	noun.person	hermit
489	489	verb.communication	said
498	499	noun.animal	human being
502	502	verb.possession	give
504	504	noun.state	life
510	510	verb.possession	gain
513	513	noun.person	soul
519	519	verb.change	die
522	522	noun.time	day
527	528	noun.time	short life
535	535	verb.communication	cried
537	537	noun.person	Neck
541	541	verb.creation	played
543	543	noun.communication	melody
547	547	noun.state	happiness
550	550	noun.body	blood
551	551	verb.motion	danced
554	554	noun.person	hermit
556	556	noun.body	veins
560	560	verb.stative	were
562	562	noun.person	boy
568	568	noun.time	day
571	571	verb.motion	came
575	575	noun.person	Neck
576	576	verb.communication	called
580	580	verb.communication	said
584	584	noun.person	father
589	589	verb.cognition	thinking
592	592	verb.stative	art
602	602	verb.stative	are
605	605	noun.time	days
607	607	noun.time	life
608	608	verb.stative	remaining
615	615	noun.communication	reason
618	618	noun.state	loneliness
621	621	verb.stative	are
623	623	noun.cognition	burden
627	627	verb.stative	is
634	634	verb.stative	be
636	636	noun.act	means
638	638	verb.social	procuring
642	642	noun.person	soul
646	646	verb.communication	beg
650	650	verb.social	let
652	652	verb.change	die
655	655	noun.time	day
660	660	noun.person	hermit
661	662	verb.communication	cried out
666	666	noun.person	Wretch
671	671	noun.feeling	gratitude
675	675	verb.social	murder
682	683	noun.person	old man
686	686	verb.communication	replied
688	688	noun.person	Neck
693	693	verb.contact	part
698	698	noun.person	fag
700	700	noun.time	end
702	702	noun.state	life
706	706	verb.creation	play
709	709	noun.artifact	harp
711	711	noun.communication	strain
715	715	noun.feeling	sadness
719	719	noun.cognition	heart
721	721	verb.cognition	hears
725	725	verb.change	break
730	730	noun.feeling	pain
733	733	noun.feeling	heartbreak
735	735	verb.stative	be
741	741	verb.cognition	know
744	744	noun.state	rapture
750	750	noun.object	sun
751	751	verb.motion	sets
754	754	noun.substance	water
757	757	noun.person	spirit
760	760	verb.motion	depart
762	762	noun.feeling	suffering
766	766	verb.communication	beg
770	770	verb.social	let
772	772	verb.change	die
775	775	noun.time	day
782	782	verb.communication	said
784	784	noun.person	hermit
791	791	verb.stative	art
794	794	noun.body	Neck
797	797	noun.quantity	nothing
804	804	verb.cognition	know
