start_token	end_token	supersense_category	text
1	1	noun.person	OGRE
2	2	verb.social	COURTING
5	5	noun.time	days
7	7	noun.person	ogres
8	8	verb.stative	were
11	11	noun.person	terror
14	14	noun.location	districts
17	17	verb.stative	was
22	22	verb.stative	kept
25	25	noun.location	neighbourhood
27	27	noun.feeling	fear
33	33	verb.communication	dispute
35	35	noun.act	tyranny
38	38	noun.act	thefts
40	40	noun.communication	exactions
44	44	noun.possession	ransoms
46	46	noun.person	merchants
53	53	verb.consumption	eaten
57	57	noun.attribute	way
62	62	noun.person	Ogre
64	64	verb.change	become
72	72	verb.cognition	knew
74	74	verb.communication	tell
77	77	noun.artifact	cellars
80	80	noun.possession	gold
82	82	noun.possession	jewels
85	85	noun.artifact	yards
87	87	noun.artifact	barns
88	88	verb.change	groaning
91	91	noun.attribute	weight
94	94	noun.artifact	goods
99	99	verb.change	grew
106	106	verb.stative	became
110	110	noun.time	day
112	112	noun.time	day
115	115	verb.change	added
118	118	noun.artifact	stores
125	125	noun.person	ogres
128	128	verb.stative	was
133	133	verb.stative	was
141	141	verb.perception	found
144	144	noun.attribute	force
146	146	noun.act	fraud
149	149	verb.possession	get
157	157	verb.possession	took
160	160	noun.group	people
161	161	verb.stative	was
165	165	noun.feeling	grievance
170	170	verb.contact	killed
172	172	verb.consumption	eaten
175	175	verb.stative	was
178	178	noun.state	chance
180	181	verb.cognition	thought of
185	185	noun.person	man
187	187	verb.change	die
194	194	verb.stative	is
196	196	noun.person	sailor
199	199	noun.animal	shark
201	201	verb.consumption	eat
205	205	verb.stative	is
212	212	verb.contact	devoured
215	215	noun.animal	ogre
220	220	verb.stative	was
227	227	verb.stative	was
232	232	verb.stative	keep
233	233	verb.change	getting
239	239	verb.emotion	liked
241	241	noun.person	wives
246	246	noun.person	women
247	247	verb.stative	lived
249	249	noun.feeling	fear
251	251	noun.feeling	dread
256	256	noun.person	wives
258	258	verb.change	died
265	265	verb.social	courting
270	270	verb.communication	said
272	272	verb.consumption	ate
274	274	noun.person	wives
277	277	verb.communication	said
279	279	verb.social	tormented
287	287	verb.contact	worked
293	293	verb.cognition	knew
295	295	verb.stative	was
299	299	noun.artifact	match
304	304	verb.stative	was
307	307	noun.person	father
310	310	verb.social	refuse
312	312	noun.person	daughter
316	316	verb.communication	asked
320	320	noun.person	Ogre
322	322	verb.emotion	cared
325	325	noun.cognition	things
328	328	noun.person	woman
331	331	verb.emotion	liked
334	334	verb.stative	be
340	340	noun.person	housewife
347	347	noun.person	Ogre
350	350	verb.possession	lost
355	355	noun.person	wife
359	359	noun.cognition	memory
361	361	noun.group	man
366	366	noun.attribute	qualities
369	369	verb.stative	united
372	372	noun.person	person
379	379	noun.person	woman
382	382	noun.location	district
385	385	noun.person	daughter
390	390	noun.person	farmer
393	393	verb.stative	was
400	400	verb.consumption	afford
403	403	verb.social	dower
405	405	noun.person	daughter
411	411	verb.change	remained
416	416	noun.time	youth
419	419	verb.emotion	felt
422	423	noun.person	Managing Molly
427	427	verb.social	married
430	430	noun.person	Ogre
434	434	noun.person	girls
435	435	verb.body	stretched
439	440	verb.stative	looked like
441	441	noun.animal	maypoles
444	444	verb.communication	said
448	448	noun.state	thing
452	452	noun.person	slatterns
453	453	verb.motion	gossiped
455	455	noun.artifact	house
457	457	noun.artifact	house
460	460	noun.body	heels
463	463	noun.body	shoes
464	464	verb.perception	clacking
467	467	verb.stative	went
470	470	verb.communication	cried
473	473	verb.stative	was
475	475	verb.stative	came
477	477	verb.stative	being
487	487	noun.time	time
491	491	noun.person	widower
