start_token	end_token	supersense_category	text
1	1	noun.person	WIDOWS
4	4	noun.person	STRANGERS
7	7	noun.time	days
12	12	verb.stative	were
17	17	noun.person	widows
19	19	verb.stative	lived
23	23	noun.group	hamlet
28	28	noun.artifact	roof
33	33	noun.artifact	cottages
34	34	verb.stative	joined
37	37	noun.artifact	roof
38	38	verb.contact	covered
46	46	noun.artifact	dwelling
51	51	verb.stative	were
54	54	noun.attribute	age
56	56	noun.state	circumstances
61	61	noun.cognition	respects
63	63	verb.stative	were
69	69	noun.person	dame
70	70	verb.stative	was
75	75	verb.possession	had
76	76	noun.quantity	little
78	78	verb.possession	save
83	83	verb.stative	was
88	88	verb.possession	had
89	89	noun.quantity	little
91	91	verb.possession	give
98	98	noun.object	ground
102	102	noun.person	widows
104	104	noun.artifact	cottages
106	106	verb.stative	stood
108	108	noun.artifact	monastery
115	115	noun.person	brethren
116	116	verb.stative	spent
118	118	noun.time	time
120	120	noun.act	prayer
122	122	noun.act	labour
126	126	noun.act	works
131	131	noun.act	alms
134	134	noun.person	monks
138	138	noun.attribute	kindness
140	140	noun.person	neighbours
145	145	noun.attribute	wants
146	146	verb.stative	were
150	151	noun.person	old women
152	152	verb.creation	dwelt
154	154	noun.state	comfort
157	157	verb.consumption	had
159	159	noun.food	bread
162	162	verb.contact	lay
165	165	noun.time	night
168	168	noun.time	evening
174	174	noun.person	widow
176	176	verb.creation	having
177	177	noun.food	supper
180	180	verb.motion	came
182	182	noun.event	knock
185	185	noun.artifact	door
189	189	verb.contact	opened
193	194	verb.contact	put away
196	196	noun.artifact	remains
199	199	noun.food	meal
205	205	verb.communication	said
210	210	verb.stative	is
213	213	noun.time	night
216	216	noun.quantity	ten
221	221	noun.person	vagabond
222	222	verb.emotion	wants
223	223	noun.artifact	shelter
229	229	noun.food	victuals
232	232	noun.artifact	table
234	234	noun.person	fool
237	237	verb.communication	asked
239	239	verb.contact	sup
245	245	verb.contact	opened
247	247	noun.artifact	door
250	250	noun.person	monk
251	252	verb.motion	came in
256	256	noun.body	cowl
257	257	verb.contact	pulled
260	260	noun.body	head
262	262	verb.social	shelter
266	266	noun.phenomenon	storm
269	269	noun.person	widow
270	270	verb.stative	was
275	275	verb.stative	kept
279	279	noun.artifact	brotherhood
280	280	verb.stative	waiting
284	284	verb.communication	apologized
288	288	noun.person	monk
289	289	verb.stative	stopped
292	292	verb.communication	saying
296	296	verb.emotion	fear
298	299	verb.communication	cut short
301	301	noun.time	evening
302	302	noun.food	meal
305	305	noun.person	daughter
312	312	noun.communication	name
316	316	noun.state	luck
322	322	verb.cognition	guess
326	326	verb.communication	thought
328	328	noun.person	widow
333	333	noun.attribute	civility
335	335	verb.communication	pressed
337	337	noun.person	monk
341	341	noun.food	supper
344	344	noun.act	walk
349	349	noun.person	woman
351	351	verb.emotion	felt
