start_token	end_token	supersense_category	text
1	2	noun.person	PIED PIPER
4	4	noun.location	HAMELIN
6	7	noun.location	Hamelin Town
10	10	noun.location	Brunswick
14	15	noun.location	Hanover city
18	19	noun.object	river Weser
25	25	verb.contact	Washes
27	27	noun.artifact	wall
31	31	noun.location	side
35	35	noun.location	spot
38	38	verb.perception	spied
43	43	verb.change	begins
45	45	noun.communication	ditty
50	50	noun.time	years
54	54	verb.perception	see
56	56	noun.group	townsfolk
57	57	verb.body	suffer
60	60	noun.object	vermin
62	62	verb.stative	was
64	64	noun.feeling	pity
68	68	noun.person	Rats
71	71	verb.competition	fought
73	73	noun.animal	dogs
75	75	verb.contact	killed
77	77	noun.animal	cats
80	80	verb.contact	bit
82	82	noun.animal	babies
85	85	noun.artifact	cradles
88	88	verb.consumption	ate
90	90	noun.food	cheeses
94	94	noun.artifact	vats
97	97	verb.contact	licked
99	99	noun.food	soup
102	102	noun.person	cook
105	105	noun.artifact	ladles
107	107	verb.contact	Split
108	108	verb.contact	open
110	110	noun.artifact	kegs
113	113	noun.food	sprats
115	115	verb.change	Made
116	116	noun.artifact	nests
118	118	noun.person	men
120	120	noun.time	Sunday
121	121	noun.artifact	hats
125	125	verb.change	spoiled
127	127	noun.person	women
129	129	noun.communication	chats
132	132	verb.change	drowning
134	134	noun.communication	speaking
136	136	verb.communication	shrieking
138	138	verb.communication	squeaking
142	142	noun.artifact	sharps
144	144	noun.artifact	flats
151	151	noun.group	people
154	154	noun.body	body
157	158	noun.group	Town Hall
159	159	verb.motion	came
160	160	verb.motion	flocking
167	167	verb.communication	cried
172	172	noun.person	Mayor
175	175	noun.communication	noddy
181	181	noun.group	Corporation
185	185	verb.cognition	think
187	187	verb.possession	buy
188	188	noun.artifact	gowns
191	191	noun.substance	ermine
193	193	noun.artifact	dolts
200	200	verb.cognition	determine
205	205	verb.possession	rid
209	209	noun.state	vermin
212	212	verb.emotion	hope
216	216	verb.stative	're
222	222	verb.possession	find
227	227	noun.artifact	robe
228	228	noun.attribute	ease
233	233	noun.person	sirs
235	235	verb.possession	Give
237	237	noun.body	brains
241	241	verb.possession	find
243	243	noun.communication	remedy
245	245	verb.stative	're
246	246	verb.consumption	lacking
252	252	noun.phenomenon	fate
256	256	verb.motion	send
258	258	verb.contact	packing
264	264	noun.person	Mayor
266	266	noun.group	Corporation
267	267	verb.creation	Quaked
271	271	noun.feeling	consternation
276	276	noun.time	hour
278	278	verb.consumption	sate
280	280	noun.group	council
285	285	noun.person	Mayor
286	287	verb.communication	broke silence
296	296	noun.substance	ermine
297	297	noun.artifact	gown
298	298	noun.act	sell
301	301	verb.emotion	wish
303	303	verb.stative	were
305	305	noun.quantity	mile
312	312	verb.possession	bid
319	319	verb.stative	'm
323	323	noun.body	head
324	324	verb.body	aches
329	329	verb.body	scratched
340	340	noun.artifact	trap
343	343	noun.artifact	trap
346	346	noun.artifact	trap
352	352	verb.communication	said
360	360	noun.artifact	chamber
361	361	noun.artifact	door
365	365	noun.event	tap
368	368	verb.communication	Bless
372	372	verb.communication	cried
374	374	noun.person	Mayor
385	385	noun.group	Corporation
388	388	verb.contact	sat
390	390	verb.perception	Looking
394	394	noun.substance	fat
400	400	noun.body	eye
411	411	noun.animal	oyster
416	416	noun.time	noon
418	418	noun.body	paunch
419	419	verb.change	grew
423	423	noun.artifact	plate
425	425	noun.animal	turtle
428	428	noun.substance	glutinous
433	433	noun.act	scraping
435	435	noun.artifact	shoes
438	438	noun.artifact	mat
443	443	noun.attribute	sound
446	446	noun.animal	rat
449	449	noun.body	heart
450	450	verb.motion	go
451	451	noun.time	pit
458	458	noun.person	V.
462	462	noun.person	Mayor
463	463	verb.communication	cried
465	465	verb.perception	looking
471	471	verb.change	come
474	474	noun.body	figure
479	479	noun.artifact	coat
481	481	noun.artifact	heel
483	483	noun.body	head
484	484	verb.stative	Was
485	485	noun.quantity	half
489	489	noun.quantity	half
491	491	noun.attribute	red
496	496	verb.stative	was
504	504	noun.body	eyes
509	509	noun.artifact	pin
514	514	noun.body	hair
518	518	noun.body	skin
520	520	noun.body	tuft
522	522	noun.body	cheek
524	524	noun.body	beard
526	526	noun.body	chin
529	529	noun.body	lips
531	531	noun.communication	smile
532	533	verb.motion	went out
540	540	verb.cognition	guessing
542	542	noun.group	kith
544	544	noun.person	kin
550	550	verb.cognition	admire
553	553	noun.person	man
557	557	noun.artifact	attire
569	569	noun.person	grandsire
571	572	verb.change	Starting up
575	575	noun.location	Trump
577	577	noun.person	Doom
579	579	noun.attribute	tone
582	582	verb.motion	walked
584	584	noun.location	way
588	588	noun.artifact	tombstone
591	591	noun.person	VI
594	594	verb.motion	advanced
597	597	noun.group	council
599	599	noun.group	table
606	606	noun.communication	honours
609	609	verb.communication	said
614	614	verb.stative	'm
622	622	noun.attribute	charm
625	625	verb.communication	draw
627	627	noun.animal	creatures
628	628	verb.stative	living
631	631	noun.object	sun
634	634	verb.motion	creep
636	636	verb.motion	swim
638	638	verb.motion	fly
640	640	verb.motion	run
648	648	verb.perception	saw
653	653	verb.consumption	use
655	655	noun.attribute	charm
657	657	noun.Tops	creatures
659	659	verb.creation	do
660	660	noun.person	people
664	664	noun.animal	mole
666	666	noun.animal	toad
668	668	noun.animal	newt
670	670	noun.animal	viper
673	673	noun.group	people
674	674	verb.communication	call
677	678	noun.person	Pied Piper
685	685	verb.perception	noticed
688	688	noun.body	neck
690	690	noun.artifact	scarf
695	695	noun.artifact	stripe
698	698	verb.stative	match
701	701	noun.artifact	coat
707	707	noun.artifact	cheque
712	712	noun.artifact	scarf
714	714	noun.location	end
715	715	verb.contact	hung
717	717	noun.artifact	pipe
721	721	noun.body	fingers
723	723	verb.perception	noticed
726	726	verb.motion	straying
732	732	verb.creation	playing
735	735	noun.artifact	pipe
740	740	verb.motion	dangled
743	743	noun.body	vesture
754	754	verb.communication	said
759	759	noun.person	Piper
762	762	verb.stative	am
765	765	noun.location	Tartary
767	767	verb.possession	freed
769	769	noun.person	Cham
771	772	noun.person	Last June
777	777	noun.group	swarms
779	779	noun.animal	gnats
782	782	verb.motion	eased
784	784	noun.location	Asia
786	786	noun.person	Nizam
790	790	noun.group	brood
792	792	noun.person	vampyre
794	794	noun.animal	bats
801	801	noun.body	brain
